Cliente,Horário,Local,Data,Código,OBS
pirelli,10:54,revendedora pirelli,29/04/2026,1,sem observação
mecanica auto,10:40,oficina mecanica auto,29/04/2026,2,sem observação
auto center brasil,08:30,auto center brasil,29/04/2026,3,sem observação
continental pneus,11:20,continental pneus asa norte,30/04/2026,4,sem observação
fernandes auto peças,14:10,fernandes auto peças,02/05/2026,5,sem observação
lubrax center,09:00,lubrax center taguatinga,04/05/2026,6,sem observação
rede pneus df,15:30,rede pneus df,05/05/2026,7,sem observação
oficina vitória,10:15,oficina vitória,06/05/2026,8,sem observação
michelin brasilia,13:45,michelin sia trecho 3,07/05/2026,9,sem observação
centro automotivo elite,08:50,centro automotivo elite,08/05/2026,10,sem observação
borracharia união,11:40,borracharia união ceilândia,09/05/2026,11,sem observação
dunlop pneus,14:25,dunlop asa sul,11/05/2026,12,sem observação
garage motors,09:35,garage motors,12/05/2026,13,sem observação
brasília auto service,15:10,brasília auto service,13/05/2026,14,sem observação
goodyear center,10:05,goodyear taguatinga,14/05/2026,15,sem observação
oficina master car,13:20,oficina master car,15/05/2026,16,sem observação
df alinhamento,08:45,df alinhamento e balanceamento,16/05/2026,17,sem observação
autoshop brasilia,11:00,autoshop brasilia,18/05/2026,18,sem observação
pneus prime,14:40,pneus prime sia,19/05/2026,19,sem observação
mecânica capital,09:25,mecânica capital,20/05/2026,20,sem observação
revenda premium car,15:15,revenda premium car,21/05/2026,21,sem observação
autotec oficina,10:30,autotec oficina especializada,22/05/2026,22,sem observação
